Question,Answer
"Любой поступок в вашей жизни может показаться ничтожной малостью, и все равно крайне важно его совершить.","Любой поступок в вашей жизни может показаться ничтожной малостью, и все равно крайне важно его совершить."
"Запомни, жизнь - как маленькое одеяльце: потянешь наверх – мерзнут ноги, потянешь вниз – голова. Жить умеет тот, кто сворачивается калачиком...","Запомни, жизнь - как маленькое одеяльце: потянешь наверх – мерзнут ноги, потянешь вниз – голова. Жить умеет тот, кто сворачивается калачиком..."
Добиться можно всего - нужно только верить в себя.,Добиться можно всего - нужно только верить в себя.
"У нас нет середины: либо в рыло, либо ручку пожалуйте!","У нас нет середины: либо в рыло, либо ручку пожалуйте!"
"Я знаю мир: в нём вор сидит на воре,
Мудрец всегда проигрывает спор с глупцом,
Бесчестный – честного стыдит,
А капля счастья тонет в море горя...","Я знаю мир: в нём вор сидит на воре,
Мудрец всегда проигрывает спор с глупцом,
Бесчестный – честного стыдит,
А капля счастья тонет в море горя..."
"Чем больше моя слава, тем я больше тупею; и таково, несомненно, общее правило.","Чем больше моя слава, тем я больше тупею; и таково, несомненно, общее правило."
"Жизнь — это не рай, ты не должна быть идеальной.","Жизнь — это не рай, ты не должна быть идеальной."
Ничего нельзя знать наперёд. Смертельно больной человек может пережить здорового. Жизнь – очень странная штука.,Ничего нельзя знать наперёд. Смертельно больной человек может пережить здорового. Жизнь – очень странная штука.
"Мы часто держим зло на человека, открывшего нам трудную правду, в которую невозможно поверить.","Мы часто держим зло на человека, открывшего нам трудную правду, в которую невозможно поверить."
"Ведь я только всего и хочу, чтобы все всегда было по-моему.","Ведь я только всего и хочу, чтобы все всегда было по-моему."
"Если хочется жить, это значит, что есть что-то, что любишь. Так труднее, но так и легче.","Если хочется жить, это значит, что есть что-то, что любишь. Так труднее, но так и легче."
"Чем хуже человек думает об окружающем мире, тем хуже этот мир для него становится. Чем больше он расстраивается по поводу неудач, тем охотнее приходят всё новые.","Чем хуже человек думает об окружающем мире, тем хуже этот мир для него становится. Чем больше он расстраивается по поводу неудач, тем охотнее приходят всё новые."
"Рука черпнуть воды искала! Не сбылось.
И ноги жаждали привала! Не сбылось.
Но более всего обидно мне за сердце,
Как сладостно оно мечтало! Не сбылось.","Рука черпнуть воды искала! Не сбылось.
И ноги жаждали привала! Не сбылось.
Но более всего обидно мне за сердце,
Как сладостно оно мечтало! Не сбылось."
"Развеселись! В плен не поймать ручья?
Зато ласкает беглая струя!
Нет в женщинах и в жизни постоянства?
Зато бывает очередь твоя!","Развеселись! В плен не поймать ручья?
Зато ласкает беглая струя!
Нет в женщинах и в жизни постоянства?
Зато бывает очередь твоя!"
Благородный помогает людям увидеть доброе в себе и не поучает людей видеть в себе дурное. А низкий человек поступает наоборот.,Благородный помогает людям увидеть доброе в себе и не поучает людей видеть в себе дурное. А низкий человек поступает наоборот.
Надо жить. Надо любить. Надо верить.,Надо жить. Надо любить. Надо верить.
"Я живу в уединении, дабы достичь своей цели, и следую должному, дабы претворить свою правду. Я слышал эти слова, но никогда не встречал такого человека.","Я живу в уединении, дабы достичь своей цели, и следую должному, дабы претворить свою правду. Я слышал эти слова, но никогда не встречал такого человека."
"Пессимист видит трудности при каждой возможности; оптимист в каждой трудности видит возможности.","Пессимист видит трудности при каждой возможности; оптимист в каждой трудности видит возможности."
"То, чего не можешь заполучить, всегда кажется лучше того, что имеешь. В этом и состоит романтика и идиотизм человеческой жизни.","То, чего не можешь заполучить, всегда кажется лучше того, что имеешь. В этом и состоит романтика и идиотизм человеческой жизни."
"Знаешь, что важно взять из детства во взрослую жизнь? Мечту. И постараться, чтобы у этой мечты не выцвели глаза...","Знаешь, что важно взять из детства во взрослую жизнь? Мечту. И постараться, чтобы у этой мечты не выцвели глаза..."
"У матери уходит двадцать лет на то, чтобы сделать из мальчика мужчину, а другая женщина за двадцать минут сделает из мужчины идиота.","У матери уходит двадцать лет на то, чтобы сделать из мальчика мужчину, а другая женщина за двадцать минут сделает из мужчины идиота."
"Строить правильно отношения труднее всего с женщинами и низкими людьми. Если приблизишь их к себе — они станут развязными, если удалишь от себя — возненавидят.","Строить правильно отношения труднее всего с женщинами и низкими людьми. Если приблизишь их к себе — они станут развязными, если удалишь от себя — возненавидят."
"Попытайтесь быть хотя бы немного добрее, и вы увидите, что будете не в состоянии совершить дурной поступок.","Попытайтесь быть хотя бы немного добрее, и вы увидите, что будете не в состоянии совершить дурной поступок."
"Не видеть спокойной жизни тому, кто слишком много думает о ее продлении.","Не видеть спокойной жизни тому, кто слишком много думает о ее продлении."
"Нас часто ждут именно там, куда мы возвращаться не хотим.","Нас часто ждут именно там, куда мы возвращаться не хотим."
(Глядя на прореху в своей юбке) Напора красоты не может сдержать ничто!,(Глядя на прореху в своей юбке) Напора красоты не может сдержать ничто!
"Никогда ведь не знаешь, насколько ты привязан к человеку, пока эта связь не оборвется.","Никогда ведь не знаешь, насколько ты привязан к человеку, пока эта связь не оборвется."
"Скажи человеку, что на небе 978 301 246 569 987 звёзд, и он поверит. Но повесь табличку ""Свежеокрашено"", и он непременно проверит пальцем.","Скажи человеку, что на небе 978 301 246 569 987 звёзд, и он поверит. Но повесь табличку ""Свежеокрашено"", и он непременно проверит пальцем."
"Самый счастливый человек тот, кто дарит счастье наибольшему числу людей.","Самый счастливый человек тот, кто дарит счастье наибольшему числу людей."
У каждого человека свои звезды.,У каждого человека свои звезды.
"Шум ничего не доказывает. Курица, снесши яйцо, часто клохчет так, как будто она снесла небольшую планету.","Шум ничего не доказывает. Курица, снесши яйцо, часто клохчет так, как будто она снесла небольшую планету."
"Как ни крути, женщина в жизни мужчины бывает только одна. Все остальные — ее тени...","Как ни крути, женщина в жизни мужчины бывает только одна. Все остальные — ее тени..."
"Жили здесь и до вас, будут жить и после вас. Вокруг - мир. Можете не обращать на него внимания, но вы - в нем, а он - в вас.","Жили здесь и до вас, будут жить и после вас. Вокруг - мир. Можете не обращать на него внимания, но вы - в нем, а он - в вас."
"Чтобы оправдаться в собственных глазах, мы нередко убеждаем себя, что не в силах достичь цели. На самом же деле мы не бессильны, а безвольны.","Чтобы оправдаться в собственных глазах, мы нередко убеждаем себя, что не в силах достичь цели. На самом же деле мы не бессильны, а безвольны."
"Люди всегда смешны. И если осознать это, жизнь кажется намного легче.","Люди всегда смешны. И если осознать это, жизнь кажется намного легче."
"Пока человек чувствует, что наиболее важное и значительное явление в мире - это его персона, он никогда не сможет по-настоящему ощутить окружающий мир. Точно зашоренная лошадь, он не видит в нем ничего, кроме самого себя.","Пока человек чувствует, что наиболее важное и значительное явление в мире - это его персона, он никогда не сможет по-настоящему ощутить окружающий мир. Точно зашоренная лошадь, он не видит в нем ничего, кроме самого себя."
Восемьдесят три процента всех дней в году начинаются одинаково: звенит будильник.,Восемьдесят три процента всех дней в году начинаются одинаково: звенит будильник.
"А знаете — ведь тут все дело в привычке. Когда столько людей приходили в твою жизнь и уходили из нее, — привыкаешь ко всему. И к встречам, и к расставаниям. В сущности, это все равно что перейти от тира к карусели.","А знаете — ведь тут все дело в привычке. Когда столько людей приходили в твою жизнь и уходили из нее, — привыкаешь ко всему. И к встречам, и к расставаниям. В сущности, это все равно что перейти от тира к карусели."
"Встанем утром и руки друг другу пожмем,
На минуту забудем о горе своем,
С наслаждением вдохнем этот утренний воздух,
Полной грудью, пока еще дышим, вдохнем.","Встанем утром и руки друг другу пожмем,
На минуту забудем о горе своем,
С наслаждением вдохнем этот утренний воздух,
Полной грудью, пока еще дышим, вдохнем."
"Свобода человека в современном мире похожа на свободу человека, разгадывающего кроссворд: теоретически, он может вписать любое слово, но на самом деле он должен вписать только одно, чтобы кроссворд решился.","Свобода человека в современном мире похожа на свободу человека, разгадывающего кроссворд: теоретически, он может вписать любое слово, но на самом деле он должен вписать только одно, чтобы кроссворд решился."
"Видеть цель, верить в себя и не замечать препятствий!","Видеть цель, верить в себя и не замечать препятствий!"
"Вы хотите узнать, надёжны ли ваши друзья? Для сего надобно оказаться в несчастии.","Вы хотите узнать, надёжны ли ваши друзья? Для сего надобно оказаться в несчастии."
"Благородный знает о своем превосходстве, но избегает соперничества. Он ладит со всеми, но ни с кем не вступает в сговор.","Благородный знает о своем превосходстве, но избегает соперничества. Он ладит со всеми, но ни с кем не вступает в сговор."
"Правду следует подавать так, как подают пальто, а не швырять в лицо, как мокрое полотенце.","Правду следует подавать так, как подают пальто, а не швырять в лицо, как мокрое полотенце."
"Случается иногда, что жизнь разводит двоих людей только для того, чтобы показать обоим, как они важны друг для друга.","Случается иногда, что жизнь разводит двоих людей только для того, чтобы показать обоим, как они важны друг для друга."
"Теперь я понимаю очень ясно,
и чувствую и вижу очень зримо:
неважно, что мгновение прекрасно,
а важно, что оно неповторимо.","Теперь я понимаю очень ясно,
и чувствую и вижу очень зримо:
неважно, что мгновение прекрасно,
а важно, что оно неповторимо."
"В любви молодые расплачиваются за то, что натворили, а старики — за то, чего не натворили.","В любви молодые расплачиваются за то, что натворили, а старики — за то, чего не натворили."
"Таков человек: по-настоящему он дорожит только тем, что у него отнято.","Таков человек: по-настоящему он дорожит только тем, что у него отнято."
"Родители любят своих детей тревожной и снисходительной любовью, которая портит их. Есть другая любовь, внимательная и спокойная, которая делает их честными.","Родители любят своих детей тревожной и снисходительной любовью, которая портит их. Есть другая любовь, внимательная и спокойная, которая делает их честными."
"Тот, кто следует разуму, доит быка.
Умник будет в убытке наверняка!
В наше время доходней валять дурака, ибо
Разум сегодня в цене чеснока.","Тот, кто следует разуму, доит быка.
Умник будет в убытке наверняка!
В наше время доходней валять дурака, ибо
Разум сегодня в цене чеснока."
"Иногда люди разочаровывают нас, иногда они тебя удивляют. Но ты никогда не узнаешь их, если не попытаешься понять.","Иногда люди разочаровывают нас, иногда они тебя удивляют. Но ты никогда не узнаешь их, если не попытаешься понять."
"К тайнам ты не пускай подлеца — их скрывай,
И секреты храни от глупца — их скрывай,
Посмотри на себя меж людей проходящих,
О надеждах молчи до конца — их скрывай!","К тайнам ты не пускай подлеца — их скрывай,
И секреты храни от глупца — их скрывай,
Посмотри на себя меж людей проходящих,
О надеждах молчи до конца — их скрывай!"
Жизнь слишком длинна для одной любви.,Жизнь слишком длинна для одной любви.
"Худший способ скучать по человеку — это быть с ним и понимать, что он никогда не будет твоим.","Худший способ скучать по человеку — это быть с ним и понимать, что он никогда не будет твоим."
"Счастлив тот, кто сберег детскую непосредственность — такой человек спасает не только собственную душу, но и жизнь.","Счастлив тот, кто сберег детскую непосредственность — такой человек спасает не только собственную душу, но и жизнь."
"Никого не любить — это величайший дар, делающий тебя непобедимым, так как никого не любя, ты лишаешься самой страшной боли.","Никого не любить — это величайший дар, делающий тебя непобедимым, так как никого не любя, ты лишаешься самой страшной боли."
"Тот, кто никогда не искал ни дружбы, ни любви, в тысячу раз беднее того, кто их обеих утратил.","Тот, кто никогда не искал ни дружбы, ни любви, в тысячу раз беднее того, кто их обеих утратил."
"Нет такого коня, на котором от самого себя ускакать можно б было!","Нет такого коня, на котором от самого себя ускакать можно б было!"
"Признаёшь превосходство других, значит — муж,
Коль хозяин в поступках своих, значит — муж.
Чести нет в униженьи того, кто повержен,
Добр к упавшим в несчастии их, значит — муж!","Признаёшь превосходство других, значит — муж,
Коль хозяин в поступках своих, значит — муж.
Чести нет в униженьи того, кто повержен,
Добр к упавшим в несчастии их, значит — муж!"
Нельзя сидеть на месте — вдруг где-то рядом оазис?,Нельзя сидеть на месте — вдруг где-то рядом оазис?
Только о двух вещах мы будем жалеть на смертном одре — что мало любили и мало путешествовали.,Только о двух вещах мы будем жалеть на смертном одре — что мало любили и мало путешествовали.
"Не делай другому того, чего себе не пожелаешь.","Не делай другому того, чего себе не пожелаешь."
"Покинутый вдали родимый край
Всегда в разлуке дорог, словно рай.","Покинутый вдали родимый край
Всегда в разлуке дорог, словно рай."
"Если б мне всемогущество было дано -
Я бы небо такое низринул давно
И воздвиг бы другое, разумное небо
Чтобы только достойных любило оно.","Если б мне всемогущество было дано -
Я бы небо такое низринул давно
И воздвиг бы другое, разумное небо
Чтобы только достойных любило оно."
"Наша жизнь — это игра, правила которой нам неизвестны.","Наша жизнь — это игра, правила которой нам неизвестны."
"Женщины любят подчиняться, но не выносят, когда их жертвы не получают должной оценки. Мужчины же не умеют ценить женщин, которые внимательны к ним.","Женщины любят подчиняться, но не выносят, когда их жертвы не получают должной оценки. Мужчины же не умеют ценить женщин, которые внимательны к ним."
"Мне кажется, в нашей далекой от совершенства жизни должно быть хоть чуточку бесполезного. Если все бесполезное улетучится, жизнь потеряет даже свое несовершенство.","Мне кажется, в нашей далекой от совершенства жизни должно быть хоть чуточку бесполезного. Если все бесполезное улетучится, жизнь потеряет даже свое несовершенство."
"Будь осмотрителен — судьба-злодейка рядом!
Меч времени остер, не будь же верхоглядом!
Когда судьба тебе положит в рот халву,
Остерегись-не ешь... В ней сахар смешан с ядом.","Будь осмотрителен — судьба-злодейка рядом!
Меч времени остер, не будь же верхоглядом!
Когда судьба тебе положит в рот халву,
Остерегись-не ешь... В ней сахар смешан с ядом."
"Человек, который все имел, а потом все потерял, еще сорок лет чувствует себя так, как будто он все имеет. А человек, который был нищим, а потом разбогател, еще сорок лет чувствует себя так, как будто он нищий.","Человек, который все имел, а потом все потерял, еще сорок лет чувствует себя так, как будто он все имеет. А человек, который был нищим, а потом разбогател, еще сорок лет чувствует себя так, как будто он нищий."
"Когда-то это был хороший отель, но ведь и я когда-то был хорошим мальчиком.","Когда-то это был хороший отель, но ведь и я когда-то был хорошим мальчиком."
"Никогда неблагодарность не ранит человеческое сердце так, как в том случае, когда она исходит от людей, ради которых мы решились на неблаговидный поступок.","Никогда неблагодарность не ранит человеческое сердце так, как в том случае, когда она исходит от людей, ради которых мы решились на неблаговидный поступок."
"Все трудности для человека состоят в том, что интуитивно он осознает свои скрытые ресурсы, но не отваживается воспользоваться ими.","Все трудности для человека состоят в том, что интуитивно он осознает свои скрытые ресурсы, но не отваживается воспользоваться ими."
"Над шрамом шутит тот, кто не был ранен.","Над шрамом шутит тот, кто не был ранен."
"С плохой репутацией жить легче, чем с хорошей, ибо хорошую репутацию тяжело блюсти, нужно все время быть на высоте — ведь любой срыв равносилен преступлению. При плохой репутации срывы простительны.","С плохой репутацией жить легче, чем с хорошей, ибо хорошую репутацию тяжело блюсти, нужно все время быть на высоте — ведь любой срыв равносилен преступлению. При плохой репутации срывы простительны."
Мы живём в эпоху парадоксов. Ради сохранения мира вынуждены вести войну.,Мы живём в эпоху парадоксов. Ради сохранения мира вынуждены вести войну.
"Одиночество не имеет никакого отношения к тому, много у нас знакомых или мало.","Одиночество не имеет никакого отношения к тому, много у нас знакомых или мало."
"Лучше изнашиваться, чем ржаветь.","Лучше изнашиваться, чем ржаветь."
"Пусть будет нашей высшей целью одно: говорить, как чувствуем, и жить, как говорим.","Пусть будет нашей высшей целью одно: говорить, как чувствуем, и жить, как говорим."
"Кто битым жизнью был, тот большего добьется.
Пуд соли съевший, выше ценит мед.
Кто слезы лил, тот искренней смеется.
Кто умирал, тот знает, что живет...","Кто битым жизнью был, тот большего добьется.
Пуд соли съевший, выше ценит мед.
Кто слезы лил, тот искренней смеется.
Кто умирал, тот знает, что живет..."
"Каждый, подобно луне, имеет свою темную сторону, которую не показывает никому.","Каждый, подобно луне, имеет свою темную сторону, которую не показывает никому."
"Я вообще хочу жить не рассуждая, не слушая советов, без всяких предупреждений. Жить, как живется.","Я вообще хочу жить не рассуждая, не слушая советов, без всяких предупреждений. Жить, как живется."
"Жизнь — как вождение велосипеда. Чтобы сохранить равновесие, ты должен двигаться.","Жизнь — как вождение велосипеда. Чтобы сохранить равновесие, ты должен двигаться."
"Достойный человек не идет по следам других людей. Оценивая мирские дела, благородный муж ничего не отвергает и не одобряет, а все меряет справедливостью.","Достойный человек не идет по следам других людей. Оценивая мирские дела, благородный муж ничего не отвергает и не одобряет, а все меряет справедливостью."
Есть два пути избавить вас от страдания: быстрая смерть и продолжительная любовь.,Есть два пути избавить вас от страдания: быстрая смерть и продолжительная любовь.
"Слишком много в мире людей, которым никто не помог пробудиться.","Слишком много в мире людей, которым никто не помог пробудиться."
Где бы ни был один из нас — другой всегда рядом.,Где бы ни был один из нас — другой всегда рядом.
"Когда живешь все время рядом с людьми, они не меняются ни на йоту. Вы изумляетесь происшедшим в них переменам, только если расстаетесь надолго, на годы.","Когда живешь все время рядом с людьми, они не меняются ни на йоту. Вы изумляетесь происшедшим в них переменам, только если расстаетесь надолго, на годы."
"Всё в наших руках, поэтому их нельзя опускать.","Всё в наших руках, поэтому их нельзя опускать."
"Есть принципы более важные, чем даже жизнь. За некоторые идеи стоит умереть.","Есть принципы более важные, чем даже жизнь. За некоторые идеи стоит умереть."
Ко всему-то подлец-человек привыкает!,Ко всему-то подлец-человек привыкает!
"Смутно, в глубине души, мы знаем, кто мы на самом деле. Этим и вызвана скорбь нашей души: мы не те, кем хотели бы быть.","Смутно, в глубине души, мы знаем, кто мы на самом деле. Этим и вызвана скорбь нашей души: мы не те, кем хотели бы быть."
Худой мир лучше доброй войны.,Худой мир лучше доброй войны.
"Проявить мудрость в чужих делах куда легче, нежели в своих собственных.","Проявить мудрость в чужих делах куда легче, нежели в своих собственных."
"Люди, которые не пьют, не курят, никогда не матерятся и не говорят о сексе, вызывают у меня какие-то подозрения. Уверен, по ночам они разделывают трупы маленьких детей или еще что-то в этом роде.","Люди, которые не пьют, не курят, никогда не матерятся и не говорят о сексе, вызывают у меня какие-то подозрения. Уверен, по ночам они разделывают трупы маленьких детей или еще что-то в этом роде."
"Вот она, значит, какая взрослая жизнь: строить замки из песка, потом прыгать на них двумя ногами и строить снова, опять и опять, прекрасно зная, что океан их все равно слизнет.","Вот она, значит, какая взрослая жизнь: строить замки из песка, потом прыгать на них двумя ногами и строить снова, опять и опять, прекрасно зная, что океан их все равно слизнет."
"Только суть, как достойно мужчин, говори,
Лишь ответствуя — слов господин — говори.
Уха два, а язык дан один не случайно —
Дважды слушай и раз лишь один — говори!","Только суть, как достойно мужчин, говори,
Лишь ответствуя — слов господин — говори.
Уха два, а язык дан один не случайно —
Дважды слушай и раз лишь один — говори!"
"Если государь чтит родителей, то и простой люд будет человечным. Если господин не забывает старых друзей, то и слуги его не будут бездушными.","Если государь чтит родителей, то и простой люд будет человечным. Если господин не забывает старых друзей, то и слуги его не будут бездушными."
"Чтобы великолепно выглядеть, не обязательно быть молодой и красивой.","Чтобы великолепно выглядеть, не обязательно быть молодой и красивой."
"Важно не то, долго ли, а правильно ли ты прожил.","Важно не то, долго ли, а правильно ли ты прожил."
"О людях надо говорить не хорошо и не плохо, а как они того заслуживают!","О людях надо говорить не хорошо и не плохо, а как они того заслуживают!"
"Если больной очень хочет жить, врачи бессильны.","Если больной очень хочет жить, врачи бессильны."
"Что хочешь помнить, то всегда помнишь.","Что хочешь помнить, то всегда помнишь."
"Сказка - это когда женился на лягушке, а она оказалась царевной. А быль - это когда наоборот.","Сказка - это когда женился на лягушке, а она оказалась царевной. А быль - это когда наоборот."
Отпускайте идиотов и клоунов из своей жизни. Цирк должен гастролировать.,Отпускайте идиотов и клоунов из своей жизни. Цирк должен гастролировать.
"Я согласна жить в мире, которым правят мужчины, до тех пор, пока могу быть в этом мире женщиной.","Я согласна жить в мире, которым правят мужчины, до тех пор, пока могу быть в этом мире женщиной."
"Один плюс один, если только это те единицы, может равняться бесконечности.","Один плюс один, если только это те единицы, может равняться бесконечности."
"Будь готов изменить свои цели, но никогда не изменяй свои ценности.","Будь готов изменить свои цели, но никогда не изменяй свои ценности."
"Человек начинает жить лишь тогда, когда ему удается превзойти самого себя.","Человек начинает жить лишь тогда, когда ему удается превзойти самого себя."
"Кто не идёт вперёд, тот идёт назад: стоячего положения нет.","Кто не идёт вперёд, тот идёт назад: стоячего положения нет."
"Всегда тягостно увидеть новыми глазами то, с чем успел так или иначе сжиться.","Всегда тягостно увидеть новыми глазами то, с чем успел так или иначе сжиться."
"Никогда не напоминай людям об услугах, оказанных тобой в прошлом. Если это благородные и благодарные люди, им не нужны напоминания, а если неблагодарные и неблагородные, то и напоминать им о прошлом – пустое дело.","Никогда не напоминай людям об услугах, оказанных тобой в прошлом. Если это благородные и благодарные люди, им не нужны напоминания, а если неблагодарные и неблагородные, то и напоминать им о прошлом – пустое дело."
Самое страшное одиночество — не иметь истинных друзей.,Самое страшное одиночество — не иметь истинных друзей.
"Кто в мыслях готов совершить преступление, тот, может быть, даже преступнее того, кто совершил его.","Кто в мыслях готов совершить преступление, тот, может быть, даже преступнее того, кто совершил его."
Жизнь — это затяжной прыжок из п...ды в могилу.,Жизнь — это затяжной прыжок из п...ды в могилу.
У меня хватило ума глупо прожить жизнь.,У меня хватило ума глупо прожить жизнь.
"Если на свете так мало счастливых браков, то лишь потому, что девушки куда больше внимания уделяют плетению силков, чем строительству клеток.","Если на свете так мало счастливых браков, то лишь потому, что девушки куда больше внимания уделяют плетению силков, чем строительству клеток."
"Жизнь — это очередь за смертью, но некоторые лезут без очереди.","Жизнь — это очередь за смертью, но некоторые лезут без очереди."
"Каждый из нас носит в себе и ад, и небо.","Каждый из нас носит в себе и ад, и небо."
"Не отворачивайся от возможного будущего, пока ты не уверен, что там нет ничего, чему ты смог бы научиться.","Не отворачивайся от возможного будущего, пока ты не уверен, что там нет ничего, чему ты смог бы научиться."
"Люди, ненавидящие правду, ненавидят также и людей, имеющих смелость высказывать ее.","Люди, ненавидящие правду, ненавидят также и людей, имеющих смелость высказывать ее."
"Сколько, наверно, есть людей, на которых я всю жизнь смотрю и не вижу.","Сколько, наверно, есть людей, на которых я всю жизнь смотрю и не вижу."
Правду говорить легко и приятно.,Правду говорить легко и приятно.
"Стань лучше и сам пойми, кто ты, прежде чем встретишь нового человека и будешь надеяться, что он тебя поймет.","Стань лучше и сам пойми, кто ты, прежде чем встретишь нового человека и будешь надеяться, что он тебя поймет."
