Question,Answer
"Может быть, что вся-то цель на земле, к которой человечество стремится, только и заключается в одной только беспрерывности процесса достижения, иначе сказать, самой жизни...","Может быть, что вся-то цель на земле, к которой человечество стремится, только и заключается в одной только беспрерывности процесса достижения, иначе сказать, самой жизни..."
"Ничто не обходится в жизни так дорого, как болезнь и — глупость.","Ничто не обходится в жизни так дорого, как болезнь и — глупость."
Международные законы существуют только в сборниках международных законов.,Международные законы существуют только в сборниках международных законов.
"Мы все — рабы того лучшего, что внутри нас, и того худшего, что снаружи.","Мы все — рабы того лучшего, что внутри нас, и того худшего, что снаружи."
"Вы были бы самым несчастным человеком в этой жизни, если бы не читали книги и стихи.","Вы были бы самым несчастным человеком в этой жизни, если бы не читали книги и стихи."
"Кто хвастает знанием тайны, тот одну половину ее уже открыл, а другую открыть не замедлит.","Кто хвастает знанием тайны, тот одну половину ее уже открыл, а другую открыть не замедлит."
"Не жди, что твой ребенок будет таким, как ты или таким, как ты хочешь. Помоги ему стать не тобой, а собой.","Не жди, что твой ребенок будет таким, как ты или таким, как ты хочешь. Помоги ему стать не тобой, а собой."
"Тот, кто делает добро другому, делает больше всего добра самому себе, не в том смысле, что ему будет за это награда, а тем, что сознание сделанного добра дает ему большую радость.","Тот, кто делает добро другому, делает больше всего добра самому себе, не в том смысле, что ему будет за это награда, а тем, что сознание сделанного добра дает ему большую радость."
"В общем-то, я сама виновата: не надо слишком уж откровенничать со своими родителями – они обязательно используют эту откровенность против тебя.","В общем-то, я сама виновата: не надо слишком уж откровенничать со своими родителями – они обязательно используют эту откровенность против тебя."
"Ловушки, ямы на моем пути –
Их бог расставил и велел идти.
И все предвидел. И меня оставил.
И судит! Тот, кто не хотел спасти!","Ловушки, ямы на моем пути –
Их бог расставил и велел идти.
И все предвидел. И меня оставил.
И судит! Тот, кто не хотел спасти!"
"Всегда лучше, когда друзья недооценивают твои достоинства, а враг преувеличивает недостатки.","Всегда лучше, когда друзья недооценивают твои достоинства, а враг преувеличивает недостатки."
"Все легко дают советы, но немногие берут за них ответственность.","Все легко дают советы, но немногие берут за них ответственность."
Все мы родом из детства.,Все мы родом из детства.
"Свободная печать бывает хорошей или плохой, это верно. Но еще более верно то, что несвободная печать бывает только плохой.","Свободная печать бывает хорошей или плохой, это верно. Но еще более верно то, что несвободная печать бывает только плохой."
"Принимать близко к сердцу радости и горести отечества способен лишь тот, кто не может пройти равнодушно мимо радостей и горестей отдельного человека.","Принимать близко к сердцу радости и горести отечества способен лишь тот, кто не может пройти равнодушно мимо радостей и горестей отдельного человека."
"Никакая вечность не длится больше, чем человеческая жизнь.","Никакая вечность не длится больше, чем человеческая жизнь."
"Если в жизни нет удовольствия, то должен быть хоть какой-нибудь смысл.","Если в жизни нет удовольствия, то должен быть хоть какой-нибудь смысл."
"Я не знаю ничего более презренного и жалкого, чем человек, который посвящает все свое время тому, чтобы делать деньги ради самих денег.","Я не знаю ничего более презренного и жалкого, чем человек, который посвящает все свое время тому, чтобы делать деньги ради самих денег."
"Нет тяжелее работы, чем стараться выглядеть красивой с восьми утра до полуночи.","Нет тяжелее работы, чем стараться выглядеть красивой с восьми утра до полуночи."
"И почему мы вечно в погоне за тем, что сулит нам страдание?","И почему мы вечно в погоне за тем, что сулит нам страдание?"
"Нет ничего больнее, чем оглядываться на счастливое прошлое, которого нет.","Нет ничего больнее, чем оглядываться на счастливое прошлое, которого нет."
"Алчное корыстолюбие кругом: кто может - грабит, кто не может - крадёт.","Алчное корыстолюбие кругом: кто может - грабит, кто не может - крадёт."
"Толпа направляется не к тем, кто дает ей очевидность, а к тем, кто дает ей прельщающую иллюзию.","Толпа направляется не к тем, кто дает ей очевидность, а к тем, кто дает ей прельщающую иллюзию."
"Чем больше человек молчит, тем больше он начинает говорить разумно.","Чем больше человек молчит, тем больше он начинает говорить разумно."
"Своим желанием прослыть умнее всех ничего, кроме своей же глупости, не докажешь.","Своим желанием прослыть умнее всех ничего, кроме своей же глупости, не докажешь."
"Ненависть, как запущенная раковая опухоль, разъедает человеческую личность и отнимает все жизненные силы.","Ненависть, как запущенная раковая опухоль, разъедает человеческую личность и отнимает все жизненные силы."
Жестокое обращение с животными есть только первый опыт для такого же обращения с людьми.,Жестокое обращение с животными есть только первый опыт для такого же обращения с людьми.
"Я верю, что ничто не проходит бесследно и что каждый малейший шаг наш имеет значение для настоящей и будущей жизни.","Я верю, что ничто не проходит бесследно и что каждый малейший шаг наш имеет значение для настоящей и будущей жизни."
Остерегайтесь гнева терпеливого человека.,Остерегайтесь гнева терпеливого человека.
Жизнь прекрасна.,Жизнь прекрасна.
"Жена создает климат, а муж делает погоду.","Жена создает климат, а муж делает погоду."
"Факты не перестают существовать оттого, что ими пренебрегают.","Факты не перестают существовать оттого, что ими пренебрегают."
В чем смысл жизни? Служить другим и делать добро.,В чем смысл жизни? Служить другим и делать добро.
"Мы не до конца прощаем дающего. Рука, которая кормит, может быть и укушена.","Мы не до конца прощаем дающего. Рука, которая кормит, может быть и укушена."
"Если вы не выражаете ваши собственные оригинальные идеи, если вы не слушаете себя, обращаясь внутрь, вы предаете себя.","Если вы не выражаете ваши собственные оригинальные идеи, если вы не слушаете себя, обращаясь внутрь, вы предаете себя."
"Если все будут жениться на умных, то что же делать с красивыми?","Если все будут жениться на умных, то что же делать с красивыми?"
"Если к тебе пришли гости и ты поставил на стол хрен, тогда никто не сможет сказать, что у вас на столе ни хрена не было, а если ты поставишь хрен в нескольких видах, тогда можно сказать гостям: ""Какого хрена вам еще нужно?""","Если к тебе пришли гости и ты поставил на стол хрен, тогда никто не сможет сказать, что у вас на столе ни хрена не было, а если ты поставишь хрен в нескольких видах, тогда можно сказать гостям: ""Какого хрена вам еще нужно?"""
"Всегда честно признавай свои ошибки, это притупит бдительность начальства и позволит тебе натворить новые.","Всегда честно признавай свои ошибки, это притупит бдительность начальства и позволит тебе натворить новые."
"Жизнь тех, кто умеет надеяться, всегда полна счастливых совпадений.","Жизнь тех, кто умеет надеяться, всегда полна счастливых совпадений."
"Я сказал тебе правду. Правду — если смотреть на неё с определённой точки зрения. Многие из тех истин, которым мы доверяем, являются таковыми лишь тогда, когда мы придерживаемся определённой точки зрения.","Я сказал тебе правду. Правду — если смотреть на неё с определённой точки зрения. Многие из тех истин, которым мы доверяем, являются таковыми лишь тогда, когда мы придерживаемся определённой точки зрения."
"Слишком много людей тратят деньги, которых они не заработали, на вещи, которые им не нужны, только для того, чтобы впечатлить людей, которых они терпеть не могут.","Слишком много людей тратят деньги, которых они не заработали, на вещи, которые им не нужны, только для того, чтобы впечатлить людей, которых они терпеть не могут."
"Не поговорить с человеком, который достоин разговора, значит потерять человека. А говорить с человеком, который разговора не достоин, — значит терять слова. Мудрый не теряет ни людей, ни слов.","Не поговорить с человеком, который достоин разговора, значит потерять человека. А говорить с человеком, который разговора не достоин, — значит терять слова. Мудрый не теряет ни людей, ни слов."
"Всю свою жизнь я искал истину. И единственное, о чем я жалею, это о потраченном времени, чтоб в итоге понять - истина в том, что истины нет. Живите и наслаждайтесь жизнью, не задавая ей вопросов!","Всю свою жизнь я искал истину. И единственное, о чем я жалею, это о потраченном времени, чтоб в итоге понять - истина в том, что истины нет. Живите и наслаждайтесь жизнью, не задавая ей вопросов!"
"Если вы всерьёз хотите разочаровать родителей, а к гомосексуализму душа не лежит, — идите в искусство.","Если вы всерьёз хотите разочаровать родителей, а к гомосексуализму душа не лежит, — идите в искусство."
"Ревность есть в большей мере осуждение самого себя. Зная, о чем способен помыслить ты сам, ты решаешь, что и она помышляет о том же.","Ревность есть в большей мере осуждение самого себя. Зная, о чем способен помыслить ты сам, ты решаешь, что и она помышляет о том же."
Каждый заблуждается в меру своих возможностей!,Каждый заблуждается в меру своих возможностей!
"Бывают положения, из которых извлекают выгоду только люди с запятнанной репутацией. Они строят свое благополучие там, где люди с лучшим положением и большим весом побоялись бы рискнуть своим именем.","Бывают положения, из которых извлекают выгоду только люди с запятнанной репутацией. Они строят свое благополучие там, где люди с лучшим положением и большим весом побоялись бы рискнуть своим именем."
"Свои несчастья можно научиться принимать без ропота; но спокойно взирать на чужие несчастья, которые так часто кажутся незаслуженными, — на это способны только философы, одержимые совершенством абсолюта.","Свои несчастья можно научиться принимать без ропота; но спокойно взирать на чужие несчастья, которые так часто кажутся незаслуженными, — на это способны только философы, одержимые совершенством абсолюта."
"Жизнь слишком коротка, чтобы следовать правилам.","Жизнь слишком коротка, чтобы следовать правилам."
"Стихийное бедствие и на самом деле вещь довольно обычная, но верится в него с трудом, даже когда оно обрушится на вашу голову.","Стихийное бедствие и на самом деле вещь довольно обычная, но верится в него с трудом, даже когда оно обрушится на вашу голову."
"Половину мира составляют люди, которым есть, что сказать, но они не могут, другую половину — люди, которым нечего сказать, но они все говорят.","Половину мира составляют люди, которым есть, что сказать, но они не могут, другую половину — люди, которым нечего сказать, но они все говорят."
"Вступайте в брак с мужчиной (или женщиной), взгляды которого на важнейшие проблемы жизни пусть и не до конца, но совпадают с вашими. В противном случае вас подстерегает несовместимость.","Вступайте в брак с мужчиной (или женщиной), взгляды которого на важнейшие проблемы жизни пусть и не до конца, но совпадают с вашими. В противном случае вас подстерегает несовместимость."
"Самые дешевые и маленькие надгробия из песчаника или цемента, могильные камни для бедняков, которые честно и скромно жили и трудились и потому, разумеется, ничего не достигли.","Самые дешевые и маленькие надгробия из песчаника или цемента, могильные камни для бедняков, которые честно и скромно жили и трудились и потому, разумеется, ничего не достигли."
"Самые большие наши страхи, как и самые большие наши надежды, находятся все-таки не за пределами наших сил, и мы в конечном итоге способны преодолеть первые и осуществить вторые.","Самые большие наши страхи, как и самые большие наши надежды, находятся все-таки не за пределами наших сил, и мы в конечном итоге способны преодолеть первые и осуществить вторые."
"Чем больнее, тем звонче
То здесь, то там.
Я с собой не покончу,
Иди к чертям.","Чем больнее, тем звонче
То здесь, то там.
Я с собой не покончу,
Иди к чертям."
"У нас чужая голова,
А убежденья сердца хрупки...
Мы — европейские слова
И азиатские поступки.","У нас чужая голова,
А убежденья сердца хрупки...
Мы — европейские слова
И азиатские поступки."
"Разруха не в клозетах, а в головах.","Разруха не в клозетах, а в головах."
"Ярко и полно живёт только тот, кто всем своим существом предается мгновению и живет им так, будто после ничего не будет.","Ярко и полно живёт только тот, кто всем своим существом предается мгновению и живет им так, будто после ничего не будет."
"Лицемерие людей, не могущих убивать животных, но не отказывающихся от употребления их в пищу, — велико и непростительно.","Лицемерие людей, не могущих убивать животных, но не отказывающихся от употребления их в пищу, — велико и непростительно."
"Иногда мы сталкиваемся с неприятностями только потому, что представляем мир таким, каким рисуем его в нашем воображении, а не таким, какой он есть на самом деле.","Иногда мы сталкиваемся с неприятностями только потому, что представляем мир таким, каким рисуем его в нашем воображении, а не таким, какой он есть на самом деле."
"Завтра будет то, что должно быть, и не будет ничего из того, что быть не должно — не суетись.","Завтра будет то, что должно быть, и не будет ничего из того, что быть не должно — не суетись."
"Хорошо воспитанные люди не беседуют в обществе ни о погоде, ни о религии.","Хорошо воспитанные люди не беседуют в обществе ни о погоде, ни о религии."
Как приятно впадать в безнадежное отчаяние. Это дает право дуться на весь мир.,Как приятно впадать в безнадежное отчаяние. Это дает право дуться на весь мир.
"На сто обманутых красавиц,
Каков бы ни был средь людей их чин,
Всегда пятьсот обманутых мужчин.","На сто обманутых красавиц,
Каков бы ни был средь людей их чин,
Всегда пятьсот обманутых мужчин."
"После поражения даже верхи становятся на некоторое время пацифистами. После победы даже низы — сторонники войны, по крайней мере пока не обнаружится, что для них победа не слишком отличается от поражения.","После поражения даже верхи становятся на некоторое время пацифистами. После победы даже низы — сторонники войны, по крайней мере пока не обнаружится, что для них победа не слишком отличается от поражения."
"В наше время найдется всего-навсего два-три человека, которые могут прочесть книгу, понять ее и вынести о ней суждение.","В наше время найдется всего-навсего два-три человека, которые могут прочесть книгу, понять ее и вынести о ней суждение."
Заприте в одной комнате больше двух человек — и они найдут повод поубивать друг друга.,Заприте в одной комнате больше двух человек — и они найдут повод поубивать друг друга.
"Приобретенное с легкостью легко и теряешь, добытое с трудом и теряешь с трудом.","Приобретенное с легкостью легко и теряешь, добытое с трудом и теряешь с трудом."
"Мы слишком похожи. Всегда точно знаешь, кто что думает.","Мы слишком похожи. Всегда точно знаешь, кто что думает."
"Большинство людей ведёт безнадёжное существование. То, что зовётся смирением, на самом деле есть убеждённое отчаяние.","Большинство людей ведёт безнадёжное существование. То, что зовётся смирением, на самом деле есть убеждённое отчаяние."
"Даже если меч понадобится один раз в жизни, носить его нужно всегда.","Даже если меч понадобится один раз в жизни, носить его нужно всегда."
"Когда, содеяв зло, человек боится, что о том узнают люди, он еще может найти путь к добру. Когда, сделав добро, человек старается, чтобы о том узнали люди, он порождает зло.","Когда, содеяв зло, человек боится, что о том узнают люди, он еще может найти путь к добру. Когда, сделав добро, человек старается, чтобы о том узнали люди, он порождает зло."
"Понять мир и полюбить его — две задачи, которые нелегко примирить между собой.","Понять мир и полюбить его — две задачи, которые нелегко примирить между собой."
"Спросите-ка себя, жаждете ли вы этого всеми силами души? Доживете ли до вечера, если не получите этой вещи? И если уверены, что не доживете, — хватайте ее и бегите.","Спросите-ка себя, жаждете ли вы этого всеми силами души? Доживете ли до вечера, если не получите этой вещи? И если уверены, что не доживете, — хватайте ее и бегите."
"Мы достаточно религиозны, чтобы ненавидеть друг друга, но недостаточно религиозны, чтобы любить друг друга.","Мы достаточно религиозны, чтобы ненавидеть друг друга, но недостаточно религиозны, чтобы любить друг друга."
Мы входим в мир одинокими и одинокими покидаем его.,Мы входим в мир одинокими и одинокими покидаем его.
"В нашей странной России можно делать все, что угодно.","В нашей странной России можно делать все, что угодно."
"Трудно благодарить от души ежедневно. Всё, наверно, может стать будничным: и забота, и готовность пожертвовать за тебя жизнью.","Трудно благодарить от души ежедневно. Всё, наверно, может стать будничным: и забота, и готовность пожертвовать за тебя жизнью."
"Разница между умным и мудрым: умный с большим трудом выкручивается из ситуации, в которую мудрый не попадает.","Разница между умным и мудрым: умный с большим трудом выкручивается из ситуации, в которую мудрый не попадает."
"Ветер жизни иногда свиреп.
В целом жизнь, однако, хороша.
И не страшно, когда черный хлеб,
Страшно, когда черная душа...","Ветер жизни иногда свиреп.
В целом жизнь, однако, хороша.
И не страшно, когда черный хлеб,
Страшно, когда черная душа..."
"Мало людей мыслят, но все хотят иметь мнение.","Мало людей мыслят, но все хотят иметь мнение."
"Мне кажется, жизнь слишком коротка, и не стоит тратить ее на то, чтобы лелеять в душе вражду или запоминать обиды.","Мне кажется, жизнь слишком коротка, и не стоит тратить ее на то, чтобы лелеять в душе вражду или запоминать обиды."
А вот сам человек устремленным своим разумом придумал тысячи способов уничтожить жизнь и достиг в этом такого разнообразия и совершенства!,А вот сам человек устремленным своим разумом придумал тысячи способов уничтожить жизнь и достиг в этом такого разнообразия и совершенства!
Праздник нужно всегда носить с собой.,Праздник нужно всегда носить с собой.
"Мы либо научимся жить вместе, либо погибнем поодиночке.","Мы либо научимся жить вместе, либо погибнем поодиночке."
"Несчастный человек, который не делает того, что он может, и берется за то, чего он не понимает.","Несчастный человек, который не делает того, что он может, и берется за то, чего он не понимает."
"Всегда надо учиться новому, если есть возможность.","Всегда надо учиться новому, если есть возможность."
Есть два основных вида жизненной позиции. Первый – это когда вы. Второй – когда вас.,Есть два основных вида жизненной позиции. Первый – это когда вы. Второй – когда вас.
В каждом человеке — солнце. Только дайте ему светить.,В каждом человеке — солнце. Только дайте ему светить.
История любой человеческой жизни есть история поражения.,История любой человеческой жизни есть история поражения.
"Умом убогих не понять, деньгами мудрость не измерить, судами правд не доказать... но в справедливость надо верить!","Умом убогих не понять, деньгами мудрость не измерить, судами правд не доказать... но в справедливость надо верить!"
"Мысли некоторых людей так поверхностны, что не проникают даже к ним в голову.","Мысли некоторых людей так поверхностны, что не проникают даже к ним в голову."
Жениться — это значит наполовину уменьшить свои права и вдвое увеличить обязанности.,Жениться — это значит наполовину уменьшить свои права и вдвое увеличить обязанности.
"Чужой успех пережить трудно, за него нередко «благодарят» ненавистью и завистью.","Чужой успех пережить трудно, за него нередко «благодарят» ненавистью и завистью."
"Любая перемена — это хорошо; застыть в неподвижности, прирасти к месту — всегда плохо.","Любая перемена — это хорошо; застыть в неподвижности, прирасти к месту — всегда плохо."
"Философии значат столько, сколько значат философы. Чем больше величия в человеке, тем больше истины в его философии.","Философии значат столько, сколько значат философы. Чем больше величия в человеке, тем больше истины в его философии."
"Неосторожное слово — и ребёнок взрослеет, обманутая любовь — и человек ожесточается.","Неосторожное слово — и ребёнок взрослеет, обманутая любовь — и человек ожесточается."
"Не тот богаче других, кто имеет более дарового золота, а тот, кто лучше других умеет довольствоваться и пользоваться тем, что имеет.","Не тот богаче других, кто имеет более дарового золота, а тот, кто лучше других умеет довольствоваться и пользоваться тем, что имеет."
"Даже когда перескочишь, не говори гоп. Сначала посмотри, во что вскочил.","Даже когда перескочишь, не говори гоп. Сначала посмотри, во что вскочил."
"Для того, чтобы добиться своего благополучия, Британии потребовались ресурсы половины планеты. Сколько же нужно таких планет, чтобы того же самого уровня благополучия достигла Индия?","Для того, чтобы добиться своего благополучия, Британии потребовались ресурсы половины планеты. Сколько же нужно таких планет, чтобы того же самого уровня благополучия достигла Индия?"
Сняться в плохом фильме - все равно что плюнуть в вечность.,Сняться в плохом фильме - все равно что плюнуть в вечность.
"То, что Бог нам однажды отмерил, друзья,
Увеличить нельзя и уменьшить нельзя.
Постараемся с толком истратить наличность,
На чужое не зарясь, взаймы не прося.","То, что Бог нам однажды отмерил, друзья,
Увеличить нельзя и уменьшить нельзя.
Постараемся с толком истратить наличность,
На чужое не зарясь, взаймы не прося."
"Единственное, что разрушает мечты — это компромисс.","Единственное, что разрушает мечты — это компромисс."
"Мозг — это удивительный орган. Он начинает работать, когда ты просыпаешься утром, и не прекращает до тех пор, пока не приходишь на работу.","Мозг — это удивительный орган. Он начинает работать, когда ты просыпаешься утром, и не прекращает до тех пор, пока не приходишь на работу."
"Когда хороший человек берется за плохое дело, судьба может повернуться к нему спиной.","Когда хороший человек берется за плохое дело, судьба может повернуться к нему спиной."
"Ты говоришь, что любишь цветы, — и рвешь их; ты говоришь, что любишь животных, — и ешь их мясо; ты говоришь, что любишь меня, — я боюсь тебя...","Ты говоришь, что любишь цветы, — и рвешь их; ты говоришь, что любишь животных, — и ешь их мясо; ты говоришь, что любишь меня, — я боюсь тебя..."
"Разбитой можно считать лишь ту жизнь, которая остановилась в своем развитии.","Разбитой можно считать лишь ту жизнь, которая остановилась в своем развитии."
"Власть — это странный феномен: тот, кто ее получает, становится изолированным от реального мира.","Власть — это странный феномен: тот, кто ее получает, становится изолированным от реального мира."
"Может быть, мы так привыкли без конца вкалывать, что даже от какой-то капельки свободы нам и то становится не по себе.","Может быть, мы так привыкли без конца вкалывать, что даже от какой-то капельки свободы нам и то становится не по себе."
"Мы ходим на работу, которую ненавидим, чтобы купить барахло, которое нам не нужно.","Мы ходим на работу, которую ненавидим, чтобы купить барахло, которое нам не нужно."
"Жизненный путь человека, если неуклонно ему следовать, ведет к предопределенному концу.","Жизненный путь человека, если неуклонно ему следовать, ведет к предопределенному концу."
"Если соблюдаешь мелкие правила, можно нарушать большие.","Если соблюдаешь мелкие правила, можно нарушать большие."
"Вообще говоря, власть не портит людей, зато дураки, когда они у власти, портят власть.","Вообще говоря, власть не портит людей, зато дураки, когда они у власти, портят власть."
"Единственная честная дорога — это путь ошибок, разочарований и надежд. Жизнь — есть выявление собственным опытом границ добра и зла. Других путей не существует.","Единственная честная дорога — это путь ошибок, разочарований и надежд. Жизнь — есть выявление собственным опытом границ добра и зла. Других путей не существует."
"Хорошие друзья, хорошие книги и спящая совесть - вот идеальная жизнь.","Хорошие друзья, хорошие книги и спящая совесть - вот идеальная жизнь."
"Роскошь извинительна только в такой стране, где никто не умирает от голода или от холода.","Роскошь извинительна только в такой стране, где никто не умирает от голода или от холода."
"Опоздать — значит убедиться, что тебя ждут. Именно тебя и никого другого. Знать, что ты незаменима.","Опоздать — значит убедиться, что тебя ждут. Именно тебя и никого другого. Знать, что ты незаменима."
"Одиночество лучше, чем плохой товарищ.","Одиночество лучше, чем плохой товарищ."
"Нигде и никогда, ни в одном городе мира, ты уж мне поверь, это правда, звезды не светят так ярко и пленительно, как в городе детства.","Нигде и никогда, ни в одном городе мира, ты уж мне поверь, это правда, звезды не светят так ярко и пленительно, как в городе детства."
"Внутренние переживания человека тем сильнее, тем острее, чем уединённее, спокойнее, бесстрастнее он живёт внешне.","Внутренние переживания человека тем сильнее, тем острее, чем уединённее, спокойнее, бесстрастнее он живёт внешне."
"Я никогда не спешу и никогда в жизни не спешил. Торопливые люди пьют нектар жизни горячим, как кипяток, я же вкушаю его прохладным, как роса.","Я никогда не спешу и никогда в жизни не спешил. Торопливые люди пьют нектар жизни горячим, как кипяток, я же вкушаю его прохладным, как роса."
